boss,loot_name,loot_url,type,bis,spec1,spec2,priority,notes
Rage Winterchill,Brassards bénis en adamantite,https://www.wowhead.com/tbc/fr/item=30862,Poignets - Plaques,,Holy Paladin,Paladin,Holy Paladin,
Rage Winterchill,Espauliers tachés de sang,https://www.wowhead.com/tbc/fr/item=30866,Épaules - Plaques,,Melee,Tank,PRet/Fury/Arms > PWar,
Rage Winterchill,Brassards de martyre,https://www.wowhead.com/tbc/fr/item=30871,Poignets - Tissu,BP5,Heal,Caster DPS,"HPri > RDru/Rcham > 
Mage > HPal",HPri BP5
Rage Winterchill,Brassards du guide,https://www.wowhead.com/tbc/fr/item=30864,Poignets - Mailles,,Physical DPS,Tank,Chasseur > Amélio > PRet/Fury/Arms,
Rage Winterchill,Chronique des sombres secrets,https://www.wowhead.com/tbc/fr/item=30872,Main gauche,BP5,Caster DPS,Heal,"Mage/SP/Lock > 
Elem > Boomy > PRet","Mage BP5, Shadow BP5, 
Lock BP5, Ele (Opt BP5)"
Rage Winterchill,Crispins de dévastation,https://www.wowhead.com/tbc/fr/item=30870,Poignets - Tissu,BP3,Caster DPS,Heal,"Mage/Lock > SP > 
Boomy > Elem","Shadow BP3 (P1 Prio), 
Mage (Opt BP5), Lock (Opt BP5)"
Rage Winterchill,Crispins mortels,https://www.wowhead.com/tbc/fr/item=30863,Poignets - Cuir,BP5,Physical DPS,Tank,"Amélio > Rogue > Bear > 
PRet/Fury/Arms > Chasseur",Enh BP5
Rage Winterchill,Menottes furieuses,https://www.wowhead.com/tbc/fr/item=30861,Poignets - Plaques,BP5,Melee,Tank,PRet/Fury/Arms > PWar,"Ret BP5, Fury/Arms BP5"
Rage Winterchill,Brassards du vent hurlant,https://www.wowhead.com/tbc/fr/item=30869,Poignets - Mailles,BP5,Heal,Caster DPS,Holy Paladin/Rcham,"HPal BP5, RSha BP5"
Rage Winterchill,Brassards de récupération,https://www.wowhead.com/tbc/fr/item=30868,Poignets - Cuir,BP5,Heal,Caster DPS,RDru > Rcham > HPal,RDru BP5
Rage Winterchill,Bottes des eaux plates,https://www.wowhead.com/tbc/fr/item=30873,Pieds - Mailles,BP5,Heal,Caster DPS,Holy Paladin/Rcham,"HPal BP5, RSha BP5"
Rage Winterchill,Lame de pisteur,https://www.wowhead.com/tbc/fr/item=30865,Arme 1M - Dague,,Physical DPS,Tank,"Dag Rogue > Rogue > Chasseur > 
Fury > Amélio",
Anetheron,Collet d'Anetheron,https://www.wowhead.com/tbc/fr/item=30888,Taille - Tissu,BP5,Caster DPS,Heal,"Boomy/Mage/Elem/
SP/Lock > HPri","Boom BP5, Mage BP5, Ele BP5
Shadow BP5, Lock BP5"
Anetheron,Mules d'archevêque,https://www.wowhead.com/tbc/fr/item=30885,Pieds - Tissu,,Heal,Caster DPS,HPri > RDru/Rcham > HPal,
Anetheron,Bastion de lumière,https://www.wowhead.com/tbc/fr/item=30882,Bouclier,,Heal,Paladin/Shaman,Holy Paladin/Rcham,
Anetheron,Lame d'infamie,https://www.wowhead.com/tbc/fr/item=30881,Arme 1M - Épée,BP5,Physical DPS,Tank,"Sword Rogue > Rogue > 
Chasseur/Fury",Rog BP5
Anetheron,Bourse de ceinture de don Alejandro,https://www.wowhead.com/tbc/fr/item=30879,Taille - Cuir,BP5,Physical DPS/ Bear,Physical DPS/ Tank,"Bear > PRet/Amélio > 
Cat/Rogue/Fury/Arms > Chasseur","Ret BP5, Cat BP3 (P2 Prio), 
Bear BP3, Fury/Arms BP3 (P2 Prio),
Enh BP3, Rog BP3 (P2 Prio)"
Anetheron,Sandales en cuir enchanté,https://www.wowhead.com/tbc/fr/item=30886,Pieds - Cuir,,Heal,Caster DPS,RDru > Rcham > HPal,Comparable to Orca-Hide in SSC
Anetheron,Mantelet rougeoyant en acier,https://www.wowhead.com/tbc/fr/item=30878,Épaules - Plaques,,Holy Paladin,Paladin,Holy Paladin,
Anetheron,Liens dorés de restauration,https://www.wowhead.com/tbc/fr/item=30887,Torse - Mailles,,Heal,Paladin/Shaman,Holy Paladin/Rcham,
Anetheron,Mantelet de Fielfurie,https://www.wowhead.com/tbc/fr/item=30884,Épaules - Tissu,BP5,Caster DPS,Heal,"SP/Lock > 
Boomy > Mage/Elem","Boom BP3 (Opt BP5), 
Shadow BP5, Lock BP5"
Anetheron,Pilier de férocité,https://www.wowhead.com/tbc/fr/item=30883,Arme 2M - Bâton,BP5,Feral Druid,Druid,Cat > Bear > Boomy,"Cat BP5, Bear BP3 (P2 Prio)"
Anetheron,La Volonté inflexible,https://www.wowhead.com/tbc/fr/item=30874,Arme 1M - Épée,BP5,Tank,Physical DPS,PWar > PPal > Rogue > Fury,PWar BP5
Anetheron,Moccassins du rôdeur rapide,https://www.wowhead.com/tbc/fr/item=30880,Pieds - Mailles,BP5,Physical DPS,Tank,Chasseur > Amélio > PRet/Fury/Arms,Hunt BP5
Kaz'rogal,Echarpe d'Angelista,https://www.wowhead.com/tbc/fr/item=30895,Taille - Tissu,,Heal,Caster DPS,HPri > RDru/Rcham/HPal,
Kaz'rogal,Epaulières de dompteur de bêtes,https://www.wowhead.com/tbc/fr/item=30892,Épaules - Mailles,BP5,Hunter,Physical DPS/ Tank,,"Hunt BP5
Pet Crit +2%- Good into Wrath"
Kaz'rogal,Ceinture de la fureur destructrice,https://www.wowhead.com/tbc/fr/item=30915,Taille - Plaques,,Melee,Tank,,
Kaz'rogal,Ceinture du croissant de lune,https://www.wowhead.com/tbc/fr/item=30914,Taille - Cuir,,Boom/Ele,Caster DPS/ Heal,Boomy/Elem chaman,
Kaz'rogal,Bottes de plumes légères noires,https://www.wowhead.com/tbc/fr/item=30891,Pieds - Cuir,,Physical DPS,Tank,"Rogue > Cat > Amélio > 
PRet/Fury/Arms > Chasseur",
Kaz'rogal,Chaussures en suédine bleue,https://www.wowhead.com/tbc/fr/item=30894,Pieds - Tissu,BP5,Caster DPS,Heal,"Mage > Boomy/SP/Lock
> Elem",Mage BP5
Kaz'rogal,Marteau d'expiation,https://www.wowhead.com/tbc/fr/item=30918,Arme 1M - Masse,,Heal,Caster DPS,RDru > HPal/HPri > Rcham,
Kaz'rogal,Cœur endurci de Kaz'rogal,https://www.wowhead.com/tbc/fr/item=30889,Bouclier,,Tank,Melee,PWar > PPal > PRet,
Kaz'rogal,Jambières des éléments canalisés,https://www.wowhead.com/tbc/fr/item=30916,Jambes - Tissu,BP5,Caster DPS,Heal,"Boomy/SP/Lock > 
Elem > Mage","Boom BP5, Shadow BP5, 
Lock BP5, Ele BP3"
Kaz'rogal,Mantelet tranche-fureur,https://www.wowhead.com/tbc/fr/item=30917,Épaules - Cuir,,Physical DPS/ Bear,Physical DPS/ Tank,"Bear > Rogue > Cat > 
Amélio > Chasseur/Fury/Arms",
Kaz'rogal,Jambières touchées par le soleil en anneaux,https://www.wowhead.com/tbc/fr/item=30893,Jambes - Mailles,,Heal,Caster DPS,Rcham > HPal,
Kaz'rogal,Ceinturon de traqueur des vaux,https://www.wowhead.com/tbc/fr/item=30919,Wasit - Mailles,,Physical DPS,Tank,Chasseur > Amélio/Fury/Arms/PRet,
Azgalor,Agonie infinie,https://www.wowhead.com/tbc/fr/item=30901,Arme 1M - Dague,BP5,Physical DPS,Tank,"Dag Rogue > Chasseur > 
Rogue > Fury/Amélio",Hunt BP5
Azgalor,Jambières à couture nouée,https://www.wowhead.com/tbc/fr/item=30900,Jambes - Mailles,BP5,Physical DPS,Tank,Chasseur/Amélio > PRet/Fury/Arms,"Hunt BP5, Enh BP5"
Azgalor,Poncho de don Rodrigue,https://www.wowhead.com/tbc/fr/item=30899,Torse - Cuir,,Heal,Caster DPS,RDru > Rcham/HPal,
Azgalor,Ceinturon de l'espoir,https://www.wowhead.com/tbc/fr/item=30897,Taille - Plaques,BP3,Holy Paladin,Paladin,Holy Paladin,HPal BP3 (P2 Prio)
Azgalor,Gloire du défenseur,https://www.wowhead.com/tbc/fr/item=30896,Torse - Plaques,,Tank,Melee,Prot Paladin/Prot Warrior,
Azgalor,Culotte de marchand douteux,https://www.wowhead.com/tbc/fr/item=30898,Jambes - Cuir,BP5,Physical DPS/ Bear,Physical DPS/ Tank,"Bear > Cat/Rogue/Amélio > 
Fury/Arms > PRet > Chasseur","Bear BP5
- May adjust later due to Armor Pen"
Azgalor,Gants du conquérant oublié,https://www.wowhead.com/tbc/fr/item=31092,Jeton d'armure,BP5,"Paladin/
Lock/Priest",,"PPal > HPal > ShadowLock 
> HPri > PRet","PPal BP5, HPal BP3 (P2 Prio),
Shadow BP3 (P1 Prio), Lock BP3
T6- Paladin, Priest, Warlock"
Azgalor,Gants du protecteur oublié,https://www.wowhead.com/tbc/fr/item=31094,Jeton d'armure,BP5,"Hunter/Shaman/
Warrior",,"Chasseur/Elem > PWar/Rcham > 
Fury/Arms > Amélio","Hunt BP5, Ele BP5
T6 - Hunter, Shaman, Warrior"
Azgalor,Gants du vainqueur oublié,https://www.wowhead.com/tbc/fr/item=31093,Jeton d'armure,BP5,"Druid/Mage/
Rogue",,"Bear > Mage/Rogue > 
Cat/Boomy > RDru","Bear BP5, Mage BP5, Rog BP5,
Cat BP3, Boom BP3
T6- Druid, Mage, Rogue"
Archimonde,Egide de la concentration captivée d'Antonidas,https://www.wowhead.com/tbc/fr/item=30909,Bouclier,BP5,Ele/PPal,"Paladin/Shaman
Warrior","Elem > PPal > HPal/Rcham > 
PWar > PRet",Ele BP5
