boss,loot_name,loot_url,type,bis,spec1,spec2,priority,notes
Magtheridon,Egide du redresseur de torts,https://www.wowhead.com/tbc/fr/item=29458,Bouclier,BP5,"Holy Paladin/
Resto Shaman","Paladin/Warrior/
Shaman",HPal > Rcham > PWar,"HPal BP5, RSha BP1"
Magtheridon,Cape du traqueur des puits,https://www.wowhead.com/tbc/fr/item=28777,Dos,,Physical DPS/ Tank,Physical DPS/ Tank,PRet > Rogue > Bear/PWar > Chasseur/Amélio/Fury/Arms,
Magtheridon,Bâton cœur-de-cristal à impulsions,https://www.wowhead.com/tbc/fr/item=28782,Arme 2M - Bâton,,Heal,Caster DPS,RDru/HPri > Rcham,
Magtheridon,Baguette d'oblitération érédar,https://www.wowhead.com/tbc/fr/item=28783,Baguette,BP1,Caster DPS,Heal,Mage > SP/Lock > HPri,Mage BP1
Magtheridon,Oeil de Magtheridon,https://www.wowhead.com/tbc/fr/item=28789,Bijou,BP5,"Caster DPS/
PPaladin",Caster DPS/ Heal,"Mage/Boomy/SP > 
Lock > Elem > PPal","Boom BP5, Mage BP5, Shadow BP5, Ele BP1, Lock BP3, PPal BP1"
Magtheridon,Ceinturon du puits sans fond,https://www.wowhead.com/tbc/fr/item=28779,Taille - Plaques,BP1,Melee,Tank,Fury/Arms > PRet,"Fury BP1, Arms BP1"
Magtheridon,Couteau de brèche de la fosse,https://www.wowhead.com/tbc/fr/item=28774,Arme 2M - Arme d'hast,BP1,Physical DPS,Tank,Arms > PRet > Chasseur > PWar,Arms BP1
Magtheridon,Talisman karaborien,https://www.wowhead.com/tbc/fr/item=28781,Main gauche,BP1,Caster DPS,Heal,Mage/Boomy > SP/Elem > Lock,"Boom BP1, Mage BP1"
Magtheridon,Gants langue-de-vipère,https://www.wowhead.com/tbc/fr/item=28776,Mains - Cuir,,Physical DPS/ Tank,Physical DPS/ Tank,Amélio/Fury/Arms > Cat/Chasseur > Rogue/Bear,
Magtheridon,Sacoche de seigneur des abîmes,https://www.wowhead.com/tbc/fr/item=34845,20 - Slot Bag,,ALL,,,Unique
Magtheridon,Protège-mains de dévoreur d'âmes,https://www.wowhead.com/tbc/fr/item=28780,Mains - Tissu,BP5,Caster DPS,Heal,SP > Boomy/Elem/Lock > Mage,Shadow BP5
Magtheridon,Ceinturon du puits de la terreur,https://www.wowhead.com/tbc/fr/item=28778,Taille - Mailles,,Hunt/RShaman,"Hunter/Shaman/
Paladin",Chasseur > Rcham > PRet/Amélio,
Magtheridon,Grand heaume de tonnerre,https://www.wowhead.com/tbc/fr/item=28775,Tête - Plaques,,Melee,Tank,PRet > Fury/Arms,
Magtheridon,Corselet du champion déchu,https://www.wowhead.com/tbc/fr/item=29754,Jeton d'armure,BP1,"PPal/HPal/Rog
RSha/Enh","Paladin/Rogue/
Shaman",PPal > HPal/Rcham > Rogue/Amélio,"PPal BP1, HPal BP1, Rog BP1, 
Enh BP1, RSha BP1
T4- Paladin/Rogue/Shaman"
Magtheridon,Corselet du défenseur déchu,https://www.wowhead.com/tbc/fr/item=29753,Jeton d'armure,BP1,"PWar/Druid
Priest","Warrior/Priest/
Druid",Bear/PWar > RDru/HPri > Boomy/SP > Cat,"Boom BP1, Bear BP1, RDru BP1,
Shadow BP1, PWar BP1
T4- Warrior, Priest, Druid"
Magtheridon,Corselet du héros déchu,https://www.wowhead.com/tbc/fr/item=29755,Jeton d'armure,BP1,"Mage/Lock/
Hunter",,Lock > Mage > Chasseur,"Lock BP1
T4- Hunter/Mage/Warlock"
Magtheridon,Tête de Magtheridon,https://www.wowhead.com/tbc/fr/item=32386,Quête,,ALL,,Tank > Heal > DPS,
Magtheridon,Chevalière de défense d'A'dal,https://www.wowhead.com/tbc/fr/item=28792,Quête,BP5,Tank,Melee,Bear > PWar > PPal,"Bear BP5, PWar BP1"
Magtheridon,Bague de la fureur cramoisie,https://www.wowhead.com/tbc/fr/item=28793,Quête,BP1,Caster DPS,Heal,"Mage/Boomy/Lock > Elem >
SP","Boom BP1, Mage BP1, Lock BP1"
Magtheridon,Bague de gardelumière naaru,https://www.wowhead.com/tbc/fr/item=28790,Quête,BP5,Heal,Caster DPS,HPri > Rcham > HPal > RDru,"HPri BP5, RSha BP4, HPal BP3"
Magtheridon,Anneau du récalcitrant,https://www.wowhead.com/tbc/fr/item=28791,Quête,BP1,Physical DPS,Tank,"Cat/PRet > Amélio > 
Chasseur/Rogue > Fury/Arms","Cat BP1, Ret BP1"
"Haut Roi Maulgar and the Ogre Council (Kiggler, Blindeye, Olm, Krosh)",Ceinture d'inspiration divine,https://www.wowhead.com/tbc/fr/item=28799,Taille - Tissu,BP1,Caster DPS/ HPriest,Caster DPS/ Heal,Mage/Lock/Boomy > SP/Elem/HPri > RDru/Rcham/HPal,"Boom BP1, Mage BP1, Lock BP1"
"Haut Roi Maulgar and the Ogre Council (Kiggler, Blindeye, Olm, Krosh)",Poignets de guerre flèchelame,https://www.wowhead.com/tbc/fr/item=28795,Poignets - Plaques,BP3,Warrior,Paladin,Fury/Arms > PWar > PRet,"Fury BP3, Arms BP3"
"Haut Roi Maulgar and the Ogre Council (Kiggler, Blindeye, Olm, Krosh)",Cape brutale de l'ogre-magi,https://www.wowhead.com/tbc/fr/item=28797,Dos,BP1,Caster DPS,Heal,Arcane Mage > Elem > Lock/Boomy > Mage,Arcane Mage BP1
"Haut Roi Maulgar and the Ogre Council (Kiggler, Blindeye, Olm, Krosh)",Marteau des Naaru,https://www.wowhead.com/tbc/fr/item=28800,Arme 2M - Masse,,Melee,Tank,PRet > Arms,
"Haut Roi Maulgar and the Ogre Council (Kiggler, Blindeye, Olm, Krosh)",Masque maléfique des ombres,https://www.wowhead.com/tbc/fr/item=28796,Tête - Cuir,BP1,Physical DPS/ Bear,Physical DPS/ Tank,Amélio > Rogue/PRet > Bear > Chasseur,Enh BP1
"Haut Roi Maulgar and the Ogre Council (Kiggler, Blindeye, Olm, Krosh)",Heaume de guerre de Maulgar,https://www.wowhead.com/tbc/fr/item=28801,Tête - Mailles,,Hunt/Enh,Physical DPS,Chasseur > Amélio,
"Haut Roi Maulgar and the Ogre Council (Kiggler, Blindeye, Olm, Krosh)",Espauliers du champion déchu,https://www.wowhead.com/tbc/fr/item=29763,Jeton d'armure,BP2,"Paladin/Rogue/
Shaman",,PPal > HPal > Rcham > Rogue/Elem > PRet > Amélio,"PPal BP1, HPal BP2, Ret BP1, 
Rog BP1, Ele BP1, RSha BP1
T4- Paladin/Rogue/Shaman"
"Haut Roi Maulgar and the Ogre Council (Kiggler, Blindeye, Olm, Krosh)",Espauliers du défenseur déchu,https://www.wowhead.com/tbc/fr/item=29764,Jeton d'armure,BP2,"PWar/Priest
Druid","Warrior/Priest/
Druid","PWar > RDru/HPri > 
Boomy > Cat/SP > Bear","Boom BP2, Cat BP1, RDru BP2, 
HPri BP2, Shadow BP1, 
PWar BP1, T4- Warrior/Priest/Druid"
"Haut Roi Maulgar and the Ogre Council (Kiggler, Blindeye, Olm, Krosh)",Espauliers du héros déchu,https://www.wowhead.com/tbc/fr/item=29762,Jeton d'armure,BP1,"Mage/Warlock/
Hunter",,Mage/Lock > Chasseur,"Mage BP1, Lock BP1
T4- Hunter/Mage/Warlock"
Gruul le Tue-dragon,Défendeur de l'hériBISe aldori,https://www.wowhead.com/tbc/fr/item=28825,Bouclier,BP1,Tank,Melee,PPal/PWar > PRet > Amélio,"PPal BP2, PWar BP1"
