boss,loot_name,loot_url,type,bis,spec1,spec2,priority,notes
Kalecgos,Bague des rayons lucides,https://www.wowhead.com/tbc/fr/item=34166,Doigt - Anneau,BP5,Heal,Caster DPS,"HPal/HPri/RSha > RDru > 
Mage > Shadow","HPal BP5, HPri BP5, RSha BP5,
RDru BP5 (P4 Prio),  
Mage BP5 (P2-4 Prio)"
Kalecgos,Braies de l'agression naturelle,https://www.wowhead.com/tbc/fr/item=34169,Jambes - Cuir,BP5,RDru/Boom,Caster DPS/ Heal/Druid,RDru > Boom,"RDru BP5 (Upg)
Boom (Non-Upg #3)"
Kalecgos,Lame longue incrustée d'écailles de dragon,https://www.wowhead.com/tbc/fr/item=34164,Arme 1M - Épée,BP5,Rogue/Warrior,Physical DPS/ Tank,PWar > Rog > Fury,"PWar BP5, Rog BP5 (Offhand)"
Kalecgos,Croc de Kalecgos,https://www.wowhead.com/tbc/fr/item=34165,Arme 1M - Dague,BP5,Rogue,Physical DPS/ Tank,"Dag Rog > Rog > 
Hunt/Fury > Enh",Rog BP5
Kalecgos,Cuissards du mastodonte sacré,https://www.wowhead.com/tbc/fr/item=34167,Jambes - Plaques,BP5,"PPal/PWar/
Holy Paladin",Paladin/Warrior,PPal > HPal > PWar,"PPal BP5 (Upg), PWar (Upg #2), 
HPal BP5 (Non-Upg)"
Kalecgos,Culotte de la lutte calmante,https://www.wowhead.com/tbc/fr/item=34170,Jambes - Tissu,BP5,"Priest/Boom/
Mage/Lock",Caster DPS/ Heal,"HPri > Shadow > 
Boom/Mage/Lock","Mage (Non-Upg #2), Lock (Upg #2),
HPri BP5 (Non-Upg), Boom (Upg #2),
Shadow BP5 (Upg)"
Kalecgos,Garde-jambes de traqueur d'étoiles,https://www.wowhead.com/tbc/fr/item=34168,Jambes - Mailles,,Physical DPS,Tank,Hunt/Enh > Ret/Fury/Arms,
Kalecgos,SUNMOTE UPGRADES,,,,,,,
Kalecgos,Braies de la splendeur naturelle,https://www.wowhead.com/tbc/fr/item=34384,Jambes - Cuir,BP5,Heal,Caster DPS,Resto Druid,"Sunmote Upg: Natural Aggression
RDru BP5"
Kalecgos,Garde-jambes de judicateur,https://www.wowhead.com/tbc/fr/item=34382,Jambes - Plaques,BP5,Tank,Melee,Prot Paladin > Prot Warrior,"Sunmote Upg: Holy Juggernaut
PPal BP5, PWar (#2)"
Kalecgos,Culotte de la lutte croissante,https://www.wowhead.com/tbc/fr/item=34386,Jambes - Tissu,BP5,Caster DPS,Heal,Boom/Lock/Shadow,"Sunmote Upg: Calming Strife
Boom (#2), Lock (#2), Shadow BP5"
Kalecgos,Brassards du conquérant oublié,https://www.wowhead.com/tbc/fr/item=34848,Jeton d'armure,BP5,"Paladin/
Lock/Priest",N/A,"PPal > HPal/HPri > 
Ret/Shadow/Lock","PPal BP5, HPal BP5, Ret BP5,
HPri BP5, Shadow BP5, Lock BP5
T6- Paladin, Priest, Warlock"
Kalecgos,Brassards du protecteur oublié,https://www.wowhead.com/tbc/fr/item=34851,Jeton d'armure,BP5,"Hunter/Shaman/
Warrior",N/A,PWar > RSha > Hunt/Ele/Fury/Arms/Enh,"Hunt BP5, Ele BP5, Enh BP5,
RSha BP5, PWar BP5, 
Fury/Arms BP5
T6 - Hunter, Shaman, Warrior"
