boss,loot_name,loot_url,type,bis,spec1,spec2,priority,notes
Balance Druid,Chapel de Nordrassil,https://www.wowhead.com/tbc/fr/item=30233,Tête,,,Helm of the Vanquished Defender,,
Balance Druid,Mantelet de courroux de Nordrassil,https://www.wowhead.com/tbc/fr/item=30235,Shoulders,,,Pauldrons of the Vanquished Defender,,BP2 - T4 Prio
Balance Druid,Plastron de Nordrassil,https://www.wowhead.com/tbc/fr/item=30231,Torse,,,Chestguard of the Vanquished Defender,,
Balance Druid,Gantelets de Nordrassil,https://www.wowhead.com/tbc/fr/item=30232,Mains,,,Gloves of the Vanquished Defender,,
Balance Druid,Kilt de courroux de Nordrassil,https://www.wowhead.com/tbc/fr/item=30234,Jambes,,,Leggings of the Vanquished Defender,,BP2
Feral Druid,Coiffure de Nordrassil,https://www.wowhead.com/tbc/fr/item=30228,Tête,,,Helm of the Vanquished Defender,,"Bear BP2 #3 Total
Cat BP2(if not Wolfshead/Power Shift)"
Feral Druid,Mantelet farouche de Nordrassil,https://www.wowhead.com/tbc/fr/item=30230,Shoulders,,,Pauldrons of the Vanquished Defender,,"Bear BP2, Cat BP1 Opt with 
Shoulderpads of the Stranger/SSC"
Feral Druid,Pansière de Nordrassil,https://www.wowhead.com/tbc/fr/item=30222,Torse,,,Chestguard of the Vanquished Defender,,Bear BP2
Feral Druid,Manicles de Nordrassil,https://www.wowhead.com/tbc/fr/item=30223,Mains,,,Gloves of the Vanquished Defender,,
Feral Druid,Kilt farouche de Nordrassil,https://www.wowhead.com/tbc/fr/item=30229,Jambes,,,Leggings of the Vanquished Defender,,Bear BP2
Restoration Druid,Protège-front de Nordrassil,https://www.wowhead.com/tbc/fr/item=30219,Tête,,,Helm of the Vanquished Defender,,BP2
Restoration Druid,Mantelet de vie de Nordrassil,https://www.wowhead.com/tbc/fr/item=30221,Shoulders,,,Pauldrons of the Vanquished Defender,,BP2
Restoration Druid,Corselet de Nordrassil,https://www.wowhead.com/tbc/fr/item=30216,Torse,,,Chestguard of the Vanquished Defender,,BP2
Restoration Druid,Gants de Nordrassil,https://www.wowhead.com/tbc/fr/item=30217,Mains,,,Gloves of the Vanquished Defender,,BP2
Restoration Druid,Kilt de vie de Nordrassil,https://www.wowhead.com/tbc/fr/item=30220,Jambes,,,Leggings of the Vanquished Defender,,BP2
Hunter,Heaume de traqueur des failles,https://www.wowhead.com/tbc/fr/item=30141,Tête,,,Helm of the Vanquished Hero,,BP2
Hunter,Mantelet de traqueur des failles,https://www.wowhead.com/tbc/fr/item=30143,Shoulders,,,Pauldrons of the Vanquished Hero,,BP2
Hunter,Haubert de traqueur des failles,https://www.wowhead.com/tbc/fr/item=30139,Torse,,,Chestguard of the Vanquished Hero,,BP2
Hunter,Gantelets de traqueur des failles,https://www.wowhead.com/tbc/fr/item=30140,Mains,,,Gloves of the Vanquished Hero,,BP2
