boss,loot_name,loot_url,type,bis,spec1,spec2,priority,notes
Al'ar,Pisto-vapeur en arcanite,https://www.wowhead.com/tbc/fr/item=29949,Fusil,BP2,Physical DPS,Tank,Surv Hunt/Rog > Hunt > Fury/Arms,"Surv Hunt BP2, Rog BP2"
Al'ar,Bague d'Al'ar,https://www.wowhead.com/tbc/fr/item=29922,Doigt - Anneau,BP2,Caster DPS,Heal,Boom/Mage/Ele/Shadow > Lock,"Boom BP2, Mage BP2, Ele BP2, Shadow BP2"
Al'ar,Griffe du phénix,https://www.wowhead.com/tbc/fr/item=29948,Off - H Fist,BP2,Physical DPS,Tank,Rog > Fury > Enh > Hunt,Rog BP2
Al'ar,Cuirasse de la crête de feu,https://www.wowhead.com/tbc/fr/item=29921,Torse - Mailles,,Heal,Caster DPS,HPal > RSha,
Al'ar,Gants de la poigne brûlante,https://www.wowhead.com/tbc/fr/item=29947,Mains - Cuir,BP2,Melee/Bear,Physical DPS/ Tank,"Bear > Cat/Ret/Enh/
Fury/Arms > Rog","Bear BP2, Cat BP2, Ret BP2, 
Enh BP2, Fury/Arms BP2"
Al'ar,Protège-poignets de tourmentale,https://www.wowhead.com/tbc/fr/item=29918,Poignets - Tissu,BP2,Caster DPS,Heal,,"Boom BP2, Mage BP2, Ele BP2, 
Shadow BP2, Lock BP2"
Al'ar,Plaie-du-Néant,https://www.wowhead.com/tbc/fr/item=29924,Arme 1M - Hache,BP2,Physical DPS,Tank,Hunt > Enh > Fury,Hunt BP2 (Can Dual Wield)
Al'ar,Anneau-phénix de renaissance,https://www.wowhead.com/tbc/fr/item=29920,Doigt - Anneau,BP2,Heal/Mage,Caster DPS/ Heal,,"RDru BP2, Mage BP2, HPal BP2, 
HPri BP2, RSha BP2"
Al'ar,Cape aile-de-phénix,https://www.wowhead.com/tbc/fr/item=29925,Dos,BP2,Tank,Melee,PPal/PWar > Bear,"PPal BP2, PWar BP2"
Al'ar,Talisman du roi-soleil,https://www.wowhead.com/tbc/fr/item=29923,Main gauche,BP2,Heal/Mage,Caster DPS/ Heal,Healers/Mage > Boom,"RDru BP2, Mage BP2, HPal BP2, HPri BP2, RSha BP2"
Al'ar,Serre d'Al'Ar,https://www.wowhead.com/tbc/fr/item=30448,Bijou - Hunter,BP2,Hunter,N/A,BM Hunt > Surv Hunt,Hunt BP2
Al'ar,Serre du phénix,https://www.wowhead.com/tbc/fr/item=32944,Arme 1M - Pugilat,BP5,Physical DPS/ PWar,Physical DPS/ Tank,"Enh > Rog > Fury > 
Hunt > PWar","Rog BP5, Enh BP5, Fury BP2"
Al'ar,Tome de la rédemption ardente,https://www.wowhead.com/tbc/fr/item=30447,Bijou - Paladin,BP2,HPal/PPal,Ret Paladin,HPal > PPal > Ret,"HPal BP2, PPal Threat"
Void Reaver,Capuche du grand ingénieur,https://www.wowhead.com/tbc/fr/item=29986,Tête - Tissu,BP2,Caster DPS,Heal,Boom/Shadow/Lock > Mage/Ele,"Boom BP2, Shadow BP2, Lock BP2"
Void Reaver,Piston de saccageur gangrené,https://www.wowhead.com/tbc/fr/item=30619,Bijou,BP5,Heal,Caster DPS,RSha > HPal > RDru/HPri,"RSha BP5, HPal BP2"
