boss,loot_name,loot_url,type,bis,spec1,spec2,priority,notes
Akil'zon (Eagle Avatar),Lame-ergot d'Akil'zon,https://www.wowhead.com/tbc/fr/item=33214,Arme 1M - Épée,BP4,Physical DPS,Tank,Sword Rogue > Rogue > Chasseur > Fury,Rog BP4 (Sword MH)
Akil'zon (Eagle Avatar),Punisseur amani,https://www.wowhead.com/tbc/fr/item=33283,Arme 1M - Masse,BP4,Caster DPS/ PPal,Caster DPS/ Heal,"PPal > 
Boomy/Elem/SP > PRet",PPal BP4 (P3 Prio) Ret BP4 (1H Low Prio)
Akil'zon (Eagle Avatar),Broigne de bataille elfique taché de sang,https://www.wowhead.com/tbc/fr/item=33215,Torse - Plaques,,Melee,Tank,Fury/Arms > PRet > PWar,"Fury/Arms BP4 (P3 Prio) 
- May adjust later due to Armor Pen"
Akil'zon (Eagle Avatar),Broche de miséricorde de la Nature,https://www.wowhead.com/tbc/fr/item=33281,Cou - Collier,BP4,Caster DPS/ Heal,Caster DPS/ Heal,Rcham/SP > RDru > Boomy/Lock,"Shadow BP4, RSha BP4, RDru BP4 (Low Prio)"
Akil'zon (Eagle Avatar),Corselet de dessein caché,https://www.wowhead.com/tbc/fr/item=33216,Torse - Plaques,,Holy Paladin,Paladin,Holy Paladin,Comparable to T4 for Holy Paladin
Akil'zon (Eagle Avatar),Masque de soigne-mojo,https://www.wowhead.com/tbc/fr/item=33286,Tête - Mailles,,Heal,Caster DPS,Holy Paladin/Rcham,
Akil'zon (Eagle Avatar),Chevalière des magies antiques,https://www.wowhead.com/tbc/fr/item=33293,Doigt - Anneau,BP5,Caster DPS/ Heal,Caster DPS/ Heal,"Mage > RDru/Rcham > 
HPal > Lock > SP","RDru BP5, Mage BP5, RSha BP5, HPal BP4, Lock BP4"
Akil'zon (Eagle Avatar),Formule : Enchantement d'arme (Exécutrice),https://www.wowhead.com/tbc/fr/item=33307,Recette - Enchantement,,Enchanting,,,
Nalorakk (Bear Avatar),Ceinture à poches d'Angelame,https://www.wowhead.com/tbc/fr/item=33211,Taille - Cuir,BP4,Physical DPS/ Bear,Physical DPS/ Tank,"Bear > Cat/PRet/Rogue/
Amélio/Fury/Arms > Chasseur","Bear BP4 (Threat), Cat BP4, Ret BP4, 
Rog BP4, Enh BP4, Fury/Arms BP4
(All Classes P2 or P3 Prio)"
Nalorakk (Bear Avatar),Fureur,https://www.wowhead.com/tbc/fr/item=33640,Off - H Fist,BP4,Physical DPS,Tank,Amélio/Fury > Rogue > Chasseur,"Enh BP4 (P3 Prio), 
Fury BP4 (P3 Prio)"
