boss,loot_name,loot_url,type,bis,spec1,spec2,priority,notes
High Warlord Naj'entus,Bottes de fureur océane,https://www.wowhead.com/tbc/fr/item=32242,Pieds - Mailles,,Ele Shaman,Shaman/Paladin,Ele Shaman,
High Warlord Naj'entus,Brassards à coque d'éternium,https://www.wowhead.com/tbc/fr/item=32232,Poignets - Plaques,BP5,Tank,Melee,Prot Paladin/Prot Warrior,"PPal BP5, PWar BP5"
High Warlord Naj'entus,Poings de Mukoa,https://www.wowhead.com/tbc/fr/item=32234,Mains - Mailles,,Physical DPS,Tank,Hunt/Ret/Enh > Fury/Arms,
High Warlord Naj'entus,Semblance du rôdeur des marées,https://www.wowhead.com/tbc/fr/item=32240,Tête - Cuir,BP5,Heal,Caster DPS/ Bear,"RDru > HPal/RSha > 
Boom > Bear",RDru BP5
High Warlord Naj'entus,Hallebarde de la désolation,https://www.wowhead.com/tbc/fr/item=32248,Arme 2M - Arme d'hast,BP3,Hunt/Arms/Ret,Physical DPS/ Tank,Hunt > Arms/Ret,Hunt BP3
High Warlord Naj'entus,Heaume des courants apaisants,https://www.wowhead.com/tbc/fr/item=32241,Tête - Mailles,,Heal,Caster DPS,HPal > RSha,
High Warlord Naj'entus,Mantelet de ténèbres,https://www.wowhead.com/tbc/fr/item=32377,Épaules - Cuir,BP3,Physical DPS,Tank,"Rog > Fury/Arms > 
Cat/Enh > Hunt","Rog (Opt BP3), Fury/Arms (Opt BP3)"
High Warlord Naj'entus,Bottes enchâssées de perles,https://www.wowhead.com/tbc/fr/item=32243,Pieds - Plaques,,Holy Paladin,Paladin,Holy Paladin,
High Warlord Naj'entus,Anneau des vagues calmantes,https://www.wowhead.com/tbc/fr/item=32238,Doigt - Anneau,BP3,Heal,Caster DPS,"HPal/HPri > Mage > 
RDru/RSha","HPal BP3, HPri BP3"
High Warlord Naj'entus,Anneau des orages captifs,https://www.wowhead.com/tbc/fr/item=32247,Doigt - Anneau,BP5,Caster DPS,Heal,"Mage/Lock > 
Boom/Ele/Shadow","Mage BP5, Lock BP5, Boom BP3,
Ele BP3, Shadow BP3"
High Warlord Naj'entus,Marée haute,https://www.wowhead.com/tbc/fr/item=32236,Arme 1M - Hache,BP5,Melee,Tank,Enh > Fury,Enh BP5
High Warlord Naj'entus,Mules marinières,https://www.wowhead.com/tbc/fr/item=32239,Pieds - Tissu,BP5,Caster DPS,Heal,"Boom/Lock > Ele/Shadow > 
Mage > HPri","Boom BP5, Lock BP5, 
Ele BP3, Shadow BP3"
High Warlord Naj'entus,La Fureur du maelström,https://www.wowhead.com/tbc/fr/item=32237,Arme 1M - Dague,BP3,Caster DPS,Heal,"Ele > 
Boom/Mage/Shadow/Lock",Ele BP3
High Warlord Naj'entus,Grèves d'aigue-martel,https://www.wowhead.com/tbc/fr/item=32245,Pieds - Plaques,BP5,Tank,Melee,Prot Paladin > Prot Warrior,PPal BP5
Supremus,Bague du seigneur des abysses,https://www.wowhead.com/tbc/fr/item=32261,Doigt - Anneau,BP5,Tank,Melee,Prot Paladin/Prot Warrior,"PPal BP5, PWar BP5"
Supremus,Poignets de la tempête menaçante,https://www.wowhead.com/tbc/fr/item=32259,Poignets - Mailles,BP3,Ele Shaman,Shaman/Paladin,Ele Shaman,Ele BP3
Supremus,Sautoir des cauchemars sans fin,https://www.wowhead.com/tbc/fr/item=32260,Cou - Collier,BP5,Physical DPS,Tank,,"Cat BP5, Hunt BP5, Ret BP5,
Rog BP5, Enh BP5, Fury/Arms BP5"
Supremus,Rempart en gangrepierre,https://www.wowhead.com/tbc/fr/item=32255,Bouclier,BP3,Heal,Caster DPS,HPal > RSha,HPal BP3 (P1 Prio)
Supremus,Idole du cerf blanc,https://www.wowhead.com/tbc/fr/item=32257,Relique - Druide,,Feral,Druid,Feral > Boom/RDru,
