boss,loot_name,loot_url,type,bis,spec1,spec2,priority,notes
Hydross the Unstable,Bague de vile aggressivité,https://www.wowhead.com/tbc/fr/item=33055,Doigt - Anneau,,Bear,Physical DPS/ Tank,Bear,
Hydross the Unstable,Poignets de guerre de Brassenoire,https://www.wowhead.com/tbc/fr/item=30047,Poignets - Mailles,,HPal/RSha,Paladin/Shaman,Holy Paladin/Rcham,
Hydross the Unstable,Heaume lumineux de justice,https://www.wowhead.com/tbc/fr/item=30048,Tête - Plaques,,Holy Paladin,Paladin,Holy Paladin,
Hydross the Unstable,Idole de la déesse du croissant,https://www.wowhead.com/tbc/fr/item=30051,Relique - Druide,BP5,Resto Druid,Druid,RDru > Boomy/Feral,RDru BP5
Hydross the Unstable,Espauliers du danseur de guerre,https://www.wowhead.com/tbc/fr/item=30053,Épaules - Plaques,BP2,Melee,Tank,Fury/Arms > PRet/PWar > PPal,Fury/Arms BP2 (P1 Prio)
Hydross the Unstable,Corselet de général des forestiers,https://www.wowhead.com/tbc/fr/item=30054,Torse - Mailles,BP2,Physical DPS,Physical DPS/ Tank,SurvHunt > Chasseur > PRet/Amélio > Fury/Arms,Surv Hunt BP2
Hydross the Unstable,Robe des échos haineux,https://www.wowhead.com/tbc/fr/item=30056,Torse - Tissu,,Caster DPS,Heal,,
Hydross the Unstable,Scarabée de déplacement,https://www.wowhead.com/tbc/fr/item=30629,Bijou,BP5,Tank,Melee,PWar > Bear/PPal,PWar BP5 (MiBISation)
The Lurker Below,Anneau de conquête ancestral,https://www.wowhead.com/tbc/fr/item=30061,Doigt - Anneau,BP2,Physical DPS,Physical DPS/ Tank,PRet > Feral/Chasseur > Fury/Arms/Rogue/Amélio,Ret BP2
The Lurker Below,Sautoir de la fureur animiste,https://www.wowhead.com/tbc/fr/item=30059,Cou - Collier,,Physical DPS,Physical DPS/ Tank,,
The Lurker Below,Boucle d'oreille de la méditation expressive,https://www.wowhead.com/tbc/fr/item=30665,Bijou - Priest,BP2,Holy Priest,Priest,HPriest > SP,HPri BP2
The Lurker Below,Cuirasse luminescente de vérité,https://www.wowhead.com/tbc/fr/item=30065,Torse - Plaques,,Holy Paladin,Paladin,Holy Paladin,
The Lurker Below,Sylve-poignets de Remulos,https://www.wowhead.com/tbc/fr/item=30062,Poignets - Cuir,,Heal,Caster DPS/ Heal,RDru > HPal/Rcham,
The Lurker Below,Libram de la vérité absolue,https://www.wowhead.com/tbc/fr/item=30063,Relique - Paladin,BP5,Holy Paladin,Paladin,HPal > PRet/PPal,HPal BP5
Leotheras the Blind,Protège-épaules barbelés de corail,https://www.wowhead.com/tbc/fr/item=30097,Épaules - Mailles,BP2,Heal,Caster DPS,HPal > Rcham,HPal BP2
Leotheras the Blind,Ceinturon de l'invulnérable,https://www.wowhead.com/tbc/fr/item=30096,Taille - Plaques,BP2,Tank,Melee,PPal > PWar,PPal BP2
Leotheras the Blind,Bottes en peau d'épaulard,https://www.wowhead.com/tbc/fr/item=30092,Pieds - Cuir,,Heal,Caster DPS,,
Leotheras the Blind,Poignets de la visée précise de traqueur,https://www.wowhead.com/tbc/fr/item=30091,Poignets - Mailles,,Physical DPS,Tank,Chasseur/Amélio/Fury/Arms> PRet,
Fathom-Lord Karathress,Briseur de monde,https://www.wowhead.com/tbc/fr/item=30090,Arme 2M - Masse,,Melee,Tank,PRet/Arms > Amélio > Feral,
Morogrim Tidewalker,Ceinturon de l'appel du jusant,https://www.wowhead.com/tbc/fr/item=30068,Taille - Mailles,,Physical DPS,Tank,PRet/Amélio > Chasseur/Fury/Arms,
Morogrim Tidewalker,Plastron des anciens déformé,https://www.wowhead.com/tbc/fr/item=30075,Torse - Cuir,,Heal,Caster DPS,RDru > HPal > Rcham,
Morogrim Tidewalker,Protège-épaules illidari,https://www.wowhead.com/tbc/fr/item=30079,Épaules - Tissu,,Caster DPS,Heal,Boomy/Mage/SP > Elem/Lock,
Morogrim Tidewalker,Bâtonnet luminescent des Naaru,https://www.wowhead.com/tbc/fr/item=30080,Baguette,BP5,HPri/Mage,Caster DPS/ Heal,HPri > Mage > SP/Lock,HPri BP5
Morogrim Tidewalker,Mantelet du pisteur infatigable,https://www.wowhead.com/tbc/fr/item=30085,Épaules - Mailles,,Physical DPS,Tank,Chasseur/Amélio > Fury/Arms > PRet,
Morogrim Tidewalker,Espauliers de la sentinelle d'argent,https://www.wowhead.com/tbc/fr/item=30084,Épaules - Plaques,,Holy Paladin,Paladin,Holy Paladin,
Morogrim Tidewalker,Cape de bataille en écailles-rasoirs,https://www.wowhead.com/tbc/fr/item=30098,Dos,,Physical DPS/ Bear,Physical DPS/ Tank,Cat/PRet/Amélio/Fury/Arms > Bear > Rogue > Chasseur,
Morogrim Tidewalker,Tresse de l'anneau du serpent,https://www.wowhead.com/tbc/fr/item=30720,Bijou - Mage,BP5,Mage,,,Mage BP5
Morogrim Tidewalker,Bottes de guerre d'oblitération,https://www.wowhead.com/tbc/fr/item=30081,Pieds - Plaques,,Warrior/Ret,Warrior/Paladin,PWar > Fury/Arms > PRet,
Dame Vashj,Bague de corail du ranimé,https://www.wowhead.com/tbc/fr/item=30110,Doigt - Anneau,BP2,Heal,Caster DPS,HPri > RDru/RPal/Rcham,HPri BP2
Dame Vashj,Croc de Vashj,https://www.wowhead.com/tbc/fr/item=30103,Arme 1M - Dague,BP5,Physical DPS/ PWar,Physical DPS/ Tank,Dag Rogue > Rogue > PWar > Fury/Amélio > Chasseur,Rog BP5
Dame Vashj,Gantelets glorieux de découragement,https://www.wowhead.com/tbc/fr/item=30112,Mains - Plaques,BP5,Holy Paladin,Paladin,Holy Paladin,HPal BP5
Dame Vashj,Cuirasse cœur-de-kraken,https://www.wowhead.com/tbc/fr/item=30102,Torse - Plaques,,Warrior/Ret,Warrior/Paladin,PWar > Fury/Arms > PRet,
Dame Vashj,Prisme du calme intérieur,https://www.wowhead.com/tbc/fr/item=30621,Bijou,,ALL DPS,Heal,PRet > Amélio > Elem/Boomy > Fury/Arms > Lock > Mage/SP > Chasseur/Rogue,Threat Reduced by 150 off crits
Dame Vashj,Mantelet du totem runique,https://www.wowhead.com/tbc/fr/item=30111,Épaules - Cuir,,Heal,Caster DPS,RDru > Rcham > HPal,
Dame Vashj,Reste de la fiole de Vashj,https://www.wowhead.com/tbc/fr/item=29906,Quête,,ALL,ALL,,
Trash,Bottes du courage sans fin,https://www.wowhead.com/tbc/fr/item=30027,Pieds - Plaques,,Holy Paladin,Paladin,Holy Paladin,
Trash,Totem du maelström,https://www.wowhead.com/tbc/fr/item=30023,Relique - Shaman,BP2,Resto Shaman,Shaman,Rcham > Elem/Amélio,RSha BP2
